zip5,perc_unemp,perc_never_married,med_inc,perc_some_coll
00601,22.15,37.23,13495,34.88
00602,30.62,35.85,15106,37.44
00603,24.27,36.05,15079,39.22
00606,8.72,50,12098,23.8
00610,9.5,35.95,16923,29.91
00612,16.53,35.56,18111,46.22
00616,9.5,33.56,16279,36.9
00617,17.82,34.84,15114,33.97
00622,6.7,31.18,12059,34.79
00623,11.22,36.13,16447,42.35
00624,24.39,39.04,15500,34.44
00627,18.93,32.53,17762,41.35
00631,22.41,42.7,11651,36.93
00637,28.87,38.59,15882,39.59
00638,21.06,38.02,13735,28.73
00641,30.06,35.3,14620,39.94
00646,15.44,31.43,28530,49.74
00647,25.88,36.93,14533,31.55
00650,20.09,33.67,16166,29.33
00652,4.75,35.79,10423,41.07
00653,35.29,35.34,13292,32.98
00656,27.13,39.51,14669,36.36
00659,20.06,31.63,18669,40.28
00660,14.18,32.71,20428,40.88
00662,15.68,33.76,14735,37.11
00664,25.07,44.45,17048,32.16
00667,12.37,36.1,13843,30.43
00669,26.16,33.7,12063,34.7
00670,5.72,35.01,14438,26.59
00674,22.46,34.17,17560,39.68
00676,24.47,37.19,14362,36.1
00677,24.23,30.59,16590,38.17
00678,17.49,37.13,13975,39.38
00680,16.2,38.87,14877,34.55
00682,18.62,44.42,15312,43.04
00683,7.22,38.25,15412,37.93
00685,21.75,34.33,13705,34.38
00687,26.36,41.4,14596,34.01
00688,12.56,33.64,14306,29.62
00690,26.05,34.99,17208,41.47
00692,19.64,39.13,18145,40.66
00693,12.88,34.52,16230,41.03
00694,0,47.37,9500,27.01
00698,31.06,37.99,14810,34.65
00703,13.27,46.5,13687,32.91
00704,23.06,38.79,13327,36.61
00705,10.13,39.96,15930,42.18
00707,26.37,44.01,16043,31.66
00714,28.55,42.66,16114,40.57
00715,25.77,46.57,15029,33.08
00716,20.68,39.53,18845,50.46
00717,24.05,49.04,14178,51.91
00718,18.02,37.3,16655,38.48
00719,8.32,44.08,16062,36.95
00720,28.75,45.4,14274,30.97
00723,29.46,40.14,14777,36.03
00725,16.52,37.73,20944,44.7
00727,11.67,35.19,28864,55.45
00728,21.22,40.56,18849,42.79
00729,17.95,39.28,23574,41.14
00730,23.55,40.11,16595,40.75
00731,26.8,37.37,14974,30.55
00735,12.77,35.28,20543,43.75
00736,14.75,40.01,20874,36.92
00738,18.65,34.08,21779,44.9
00739,11.98,39.96,24295,39.04
00740,29.4,47.7,11429,21.1
00741,18.66,41.03,17192,38.77
00745,21.2,35.07,22931,45.05
00751,22.58,42.28,13323,33.76
00754,13.92,37.79,18029,34.77
00757,13.2,41.68,18024,40.56
00765,12.68,44.07,16747,26.19
00766,28.27,44.63,15859,29.26
00767,23.3,38.19,17965,32.84
00769,13.45,37.01,16799,37.43
00771,18.83,38.33,19198,37.56
00772,27.44,45.98,16151,28.01
00773,23.49,35.92,20084,40.73
00775,8.99,41.97,16375,30.78
00777,18.16,37.04,19053,43.22
00778,13.07,35.9,27859,54.5
00780,18.89,35.37,23491,42.56
00782,10.28,47.09,12503,33.83
00783,11.87,44.15,15813,38.38
00784,21.55,41.26,17680,42.99
00786,0,26.36,23214,39.93
00791,16.84,39.11,20336,40.5
00794,12.3,44.76,14786,41.03
00795,18.51,38.76,17006,40.39
00901,19.96,48.52,15608,48.31
00906,0,69.44,32500,100
00907,9.13,37.63,32025,66.47
00909,22.2,47.77,14912,48.32
00911,9,34.48,28578,65.22
00912,21.29,47.89,18934,45.86
00913,35.69,50.47,7892,41.38
00915,25.95,47.14,12926,25.74
00917,21.48,39.6,17017,43.75
00918,13.15,43.95,28710,69.51
00920,17.15,35.9,25191,52.39
00921,22.51,43.11,19079,48
00923,19.33,45.7,16164,40.85
00924,18.54,42.59,19720,49.72
00925,16,56.65,14209,45.11
00926,8.92,34.98,36008,65.68
00927,8.12,36.05,34633,79.01
00934,0,17.88,64398,89.86
00936,0,40.58,"",35.72
00949,16.31,34.9,25173,48.58
00950,"","","",""
00951,0,62.5,10500,0
00952,21,39.85,17856,40.16
00953,14.69,36.24,27554,52.49
00956,20.32,35.42,22374,48.11
00957,19.3,33.2,22484,53.47
00959,15.69,34.68,26612,60.34
00960,"",78.93,"",23.06
00961,17.06,37.55,30952,59.14
00962,29.66,43.44,15565,34.85
00965,31.22,45.84,14874,24.69
00966,11.4,32.36,52813,79.29
00968,8.33,27.47,40000,81.69
00969,10.46,34,50728,76.24
00971,19.7,39.25,22550,41.37
00976,8.22,36.43,30525,55.83
00979,8.2,32.48,39747,69.99
00982,11.98,36.27,25489,50.87
00983,14.15,37.12,27121,54.04
00985,16.75,36.68,26653,48.56
00987,13.53,37.72,32364,57.13
01001,6.54,29.53,63682,56.96
01002,8.3,59.28,56175,84.33
01003,21.05,98.71,165865,100
01005,9.62,30.32,75856,55.88
01007,6.55,27.88,77617,71.29
01008,3.8,22.31,78313,54.78
01009,23.08,22.96,48472,62.53
01010,8.52,25.16,79891,66.17
01011,7.93,28.07,59732,48.53
01012,6.43,20.49,56033,59.39
01013,10.43,38.55,41612,39.92
01020,9.58,29.97,51438,48.92
01022,21.31,41.53,57750,61.53
01026,6.26,29.07,51932,66.16
01027,7.16,28.51,57134,60.95
01028,6.01,22.31,82451,68.55
01029,12.5,19.66,61250,50.94
01030,5.64,23.79,73611,65.45
01031,17.18,35.73,46650,43.7
01032,4.92,20.3,65833,65.91
01033,3.65,23.46,72731,54.45
01034,9.23,23.53,70625,61.97
01035,4.14,29.59,77891,72.07
01036,7.07,23.55,82417,63.62
01037,7.58,30.12,115250,77.51
01038,6.93,23.27,61346,68.01
01039,3.7,24.44,74464,71.06
01040,12.77,44.45,34961,47.39
01050,4.88,21.62,64271,57.2
01053,14.86,32.81,67031,65.04
01054,4.34,26.99,76875,81.43
01056,7.3,29.65,60774,47.24
01057,9.61,28.56,64538,59.34
01060,7.04,54.42,50807,78.21
01062,7.81,27.4,63954,69.52
01063,12.23,100,"",100
01066,"","","",""
01068,9.02,25.14,83519,69.73
01069,10,31.29,52347,48.2
01070,9.31,21.78,57000,67.61
01071,6.8,21.04,72083,52.96
01072,6.59,28.02,65500,81.16
01073,4.38,20.88,76264,64.82
01074,0,76.01,77159,47.52
