lab_prod,ndc,rxcui,atc4,g_rxcui,name,concept_name
082908410,08290841003,"","","","",""
383960451,38396045102,"","","","",""
328490500,32849050081,"","","","",""
504282351,50428235157,"","","","",""
862270900,86227090055,"","","","",""
383960408,38396040801,"","","","",""
597791147,59779114796,"","","","",""
088816013,08881601358,"","","","",""
384150016,38415001630,"","","","",""
597791148,59779114811,"","","","",""
082908468,08290846803,"","","","",""
088816003,08881600350,"","","","",""
082908466,08290846603,"","","","",""
118223344,11822334400,"","","","",""
862270901,86227090105,"","","","",""
088816016,08881601600,"","","","",""
088816093,08881609350,"","","","",""
082908418,08290841803,"","","","",""
082908411,08290841103,"","","","",""
517090006,51709000620,"","","","",""
414150129,41415012977,"","","","",""
862270651,86227065105,"","","","",""
328490706,32849070601,"","","","",""
082220941,08222094193,"","","","",""
118228000,11822800040,"","","","",""
084745935,08474593597,"","","","",""
755370474,75537047419,"","","","",""
862270101,86227010105,"","","","",""
082908430,08290843003,"","","","",""
862270701,86227070105,"","","","",""
083850866,08385086601,"","","","",""
082908465,08290846503,"","","","",""
755370598,75537059884,"","","","",""
877010747,87701074725,"","","","",""
383960412,38396041202,"","","","",""
001933623,00193362350,"","","","",""
328490940,32849094005,"","","","",""
370000448,37000044892,"","","","",""
083210810,08321081028,"","","","",""
084700535,08470053501,"","","","",""
082710361,08271036100,"","","","",""
383960418,38396041808,"","","","",""
084963016,08496301601,"","","","",""
660040122,66004012205,"","","","",""
597791145,59779114599,"","","","",""
089702005,08970200521,"","","","",""
088816096,08881609600,"","","","",""
383960328,38396032870,"","","","",""
552830865,55283086502,"","","","",""
411630401,41163040141,"","","","",""
082220931,08222093196,"","","","",""
083262901,08326290110,"","","","",""
384150600,38415060001,"","","","",""
118220347,11822034790,"","","","",""
660040121,66004012104,"","","","",""
938150996,93815099695,"","","","",""
082903200,08290320096,"","","","",""
575990512,57599051201,"","","","",""
755370009,75537000988,"","","","",""
084703529,08470352901,"","","","",""
081370085,08137008520,"","","","",""
326710005,32671000503,"","","","",""
877010653,87701065354,"","","","",""
383960833,38396083339,"","","","",""
383960301,38396030108,"","","","",""
082908412,08290841201,"","","","",""
082908440,08290844001,"","","","",""
493260310,49326031090,"","","","",""
328490708,32849070801,"","","","",""
082714501,08271450100,"","","","",""
085240023,08524002301,"","","","",""
085240001,08524000103,"","","","",""
081896106,08189610601,"","","","",""
080804002,08080400280,"","","","",""
680307333,68030733301,"","","","",""
123330911,12333091170,"","","","",""
383960305,38396030512,"","","","",""
082143589,08214358901,"","","","",""
083262800,08326280001,"","","","",""
088816090,08881609004,"","","","",""
083212401,08321240110,"","","","",""
597070130,59707013001,"","","","",""
517090007,51709000722,"","","","",""
366524008,36652400806,"","","","",""
384150100,38415010001,"","","","",""
085222019,08522201950,"","","","",""
739131541,73913154133,"","","","",""
504283729,50428372912,"","","","",""
383960701,38396070118,"","","","",""
118229896,11822989640,"","","","",""
372050073,37205007378,"","","","",""
118223992,11822399280,"","","","",""
383960302,38396030240,"","","","",""
083851105,08385110579,"","","","",""
383960416,38396041631,"","","","",""
088816021,08881602190,"","","","",""
083262903,08326290350,"","","","",""
505800463,50580046320,"","","","",""
638240007,63824000710,"","","","",""
384150400,38415040028,"","","","",""
660040851,66004085105,"","","","",""
082903052,08290305282,"","","","",""
538090307,53809030701,"","","","",""
